word,count
the,Mock,Turtle,48
the,March,Hare,29
said,the,King,29
said,the,Hatter,21
the,White,Rabbit,20
said,to,herself,19
said,the,Mock,19
said,the,Caterpillar,18
she,said,to,17
said,the,Gryphon,17
Project,Gutenbergtm,electronic,17
as,she,could,16
she,went,on,16
said,the,Duchess,15
one,of,the,14
said,the,Cat,14
the,Project,Gutenberg,13
the,terms,of,12
minute,or,two,12
it,said,the,12
said,the,Queen,12
Project,Gutenberg,Literary,12
Gutenberg,Literary,Archive,12
Literary,Archive,Foundation,12
out,of,the,11
a,minute,or,11
said,to,the,11
Gutenbergtm,electronic,works,11
the,Project,Gutenbergtm,11
you,wont,you,10
terms,of,this,10
of,this,agreement,10
as,well,as,9
she,did,not,9
seemed,to,be,9
in,a,low,9
Alice,in,a,9
the,end,of,9
Alice,did,not,9
join,the,dance,9
the,United,States,9
the,use,of,8
that,she,was,8
she,could,not,8
that,it,was,8
said,the,March,8
said,the,Dormouse,8
the,King,and,8
the,Gryphon,and,8
the,King,said,8
set,forth,in,8
Project,Gutenbergtm,License,8
of,Project,Gutenbergtm,8
and,looked,at,7
was,going,to,7
the,top,of,7
at,any,rate,7
it,would,be,7
back,to,the,7
out,of,sight,7
in,the,distance,7
began,in,a,7
a,good,deal,7
said,Alice,in,7
said,in,a,7
said,the,Mouse,7
There,was,a,7
in,a,very,7
the,same,thing,7
of,the,Project,6
well,as,she,6
that,she,had,6
she,had,never,6
as,she,went,6
did,not,like,6
Alice,to,herself,6
of,the,house,6
I,must,be,6
she,was,now,6
and,when,she,6
it,said,Alice,6
set,to,work,6
in,a,great,6
a,great,hurry,6
Alice,as,she,6
to,be,a,6
turning,to,Alice,6
I,dont,know,6
now,and,then,6
in,a,tone,6
a,tone,of,6
the,Duchess,and,6
the,Queen,and,6
end,of,the,6
as,he,spoke,6
the,moral,of,6
wont,you,will,6
you,will,you,6
of,the,court,6
Gutenbergtm,electronic,work,6
to,the,Project,6
terms,of,the,5
she,thought,it,5
by,this,time,5
I,wonder,what,5
Ive,got,to,5
I,should,think,5
I,wish,you,5
in,the,air,5
and,went,on,5
saying,to,herself,5
came,upon,a,5
the,little,golden,5
little,golden,key,5
the,door,and,5
I,wish,I,5
I,think,I,5
the,little,door,5
so,she,went,5
said,Alice,and,5
said,Alice,I,5
to,see,if,5
poor,little,thing,5
to,find,that,5
ought,to,be,5
said,Alice,a,5
white,kid,gloves,5
the,fan,and,5
As,she,said,5
she,said,this,5
said,this,she,5
and,was,going,5
in,the,sea,5
in,the,pool,5
do,you,know,5
to,herself,as,5
I,should,like,5
in,the,middle,5
said,the,Dodo,5
he,went,on,5
said,Alice,very,5
for,some,time,5
thought,to,herself,5
the,other,side,5
that,said,the,5
the,rest,of,5
for,a,minute,5
as,she,spoke,5
said,the,Pigeon,5
to,the,other,5
am,I,to,5
said,to,Alice,5
Off,with,his,5
said,Alice,Why,5
one,of,them,5
the,three,gardeners,5
the,Queen,said,5
please,your,Majesty,5
with,her,head,5
moral,of,that,5
not,could,not,5
to,the,jury,5
in,the,United,5
work,or,any,5
a,Project,Gutenbergtm,5
Project,Gutenbergtm,works,5
full,Project,Gutenbergtm,5
Project,Gutenbergtm,work,5
was,beginning,to,4
she,could,for,4
getting,up,and,4
she,tried,to,4
looked,at,the,4
not,like,to,4
this,time,she,4
there,was,no,4
and,she,tried,4
Alice,began,to,4
herself,in,a,4
she,came,upon,4
golden,key,and,4
that,it,might,4
she,had,not,4
was,a,little,4
to,be,no,4
no,use,in,4
Alice,ventured,to,4
a,sort,of,4
a,few,minutes,4
said,Alice,to,4
such,a,thing,4
into,the,garden,4
to,the,door,4
when,she,had,4
the,poor,little,4
she,was,quite,4
to,be,sure,4
she,looked,down,4
how,she,would,4
she,thought,and,4
there,was,a,4
she,heard,a,4
heard,a,little,4
to,see,what,4
It,was,the,4
and,as,the,4
must,have,been,4
as,if,she,4
and,the,little,4
in,another,moment,4
