word,count
said,the,207
of,the,151
said,Alice,115
in,a,99
in,the,89
to,the,84
and,the,76
at,the,63
it,was,59
the,Queen,57
as,she,56
a,little,56
she,had,55
the,King,55
Mock,Turtle,54
to,be,52
with,the,51
the,Gryphon,51
Project,Gutenbergtm,50
she,was,49
the,Mock,49
went,on,48
the,Hatter,46
to,herself,45
and,she,43
you,know,41
said,to,39
on,the,37
out,of,36
that,she,35
the,Duchess,34
March,Hare,31
she,said,30
I,dont,30
she,could,29
and,then,29
all,the,29
was,a,29
the,March,29
the,Dormouse,29
to,her,28
she,went,27
did,not,27
such,a,27
of,this,27
the,other,27
by,the,27
with,a,27
thought,Alice,26
up,and,25
the,Project,24
Project,Gutenberg,24
into,the,24
at,all,24
of,a,23
to,see,23
to,Alice,23
that,it,23
the,Caterpillar,23
for,the,22
it,and,22
White,Rabbit,22
a,very,22
it,said,22
the,same,22
as,well,21
one,of,21
to,say,21
to,do,20
was,the,20
the,White,20
could,not,20
her,head,20
seemed,to,20
the,Mouse,20
a,large,19
must,be,19
there,was,19
as,it,19
and,was,19
the,door,19
but,she,19
if,you,19
as,the,19
to,get,18
when,she,18
she,thought,18
of,it,18
about,it,18
had,been,18
the,little,18
at,once,18
the,Cat,18
Alice,was,17
it,had,17
would,be,17
looked,at,17
I,should,17
so,she,17
of,her,17
a,great,17
Gutenbergtm,electronic,17
the,Rabbit,16
I,shall,16
like,a,16
of,them,16
Alice,and,16
for,a,16
to,go,16
and,a,16
terms,of,15
but,it,15
in,her,15
There,was,15
this,time,15
I,think,15
sort,of,15
into,a,15
again,and,15
at,last,15
and,Alice,15
a,minute,15
this,agreement,15
they,were,14
like,the,14
it,would,14
It,was,14
it,is,14
and,began,14
If,you,14
I,cant,14
that,the,14
a,good,14
the,court,14
electronic,works,14
the,time,13
if,I,13
I,wonder,13
I,must,13
she,began,13
I,can,13
and,said,13
to,find,13
be,a,13
as,he,13
and,as,13
just,as,13
I,know,13
as,if,13
the,whole,13
or,two,13
the,terms,12
So,she,12
the,way,12
ought,to,12
going,to,12
she,did,12
the,house,12
but,the,12
a,long,12
back,to,12
the,words,12
Alice,thought,12
the,first,12
of,course,12
the,Dodo,12
had,to,12
he,said,12
minute,or,12
the,jury,12
Gutenberg,Literary,12
Literary,Archive,12
Archive,Foundation,12
to,have,11
and,looked,11
for,it,11
Alice,had,11
she,found,11
was,going,11
was,not,11
about,the,11
the,right,11
but,I,11
I,wish,11
and,went,11
from,the,11
it,in,11
she,felt,11
to,make,11
with,one,11
she,heard,11
the,next,11
used,to,11
I,never,11
Alice,as,11
the,end,11
end,of,11
and,all,11
know,what,11
Of,course,11
Alice,said,11
you,wont,11
Alice,could,11
wont,you,11
the,Pigeon,11
the,cook,11
your,Majesty,11
electronic,work,11
the,work,11
under,the,10
well,as,10
for,some,10
had,not,10
for,she,10
like,to,10
got,to,10
the,air,10
my,dear,10
down,the,10
was,that,10
a,low,10
poor,Alice,10
what,I,10
at,her,10
tell,you,10
when,I,10
I,suppose,10
do,you,10
had,a,10
turning,to,10
in,an,10
took,the,10
it,to,10
till,she,10
that,you,10
Off,with,10
the,dance,10
United,States,10
access,to,10
use,of,9
had,never,9
was,very,9
she,tried,9
tried,to,9
down,and,9
she,looked,9
Alice,to,9
time,she,9
you,see,9
were,all,9
on,it,9
no,use,9
And,she,9
the,garden,9
sat,down,9
if,it,9
so,much,9
must,have,9
the,sea,9
was,in,9
to,a,9
Alice,in,9
who,was,9
and,he,9
dont,know,9
and,they,9
to,you,9
Alice,replied,9
as,I,9
with,his,9
his,head,9
Alice,did,9
the,baby,9
you,can,9
King,and,9
join,the,9
of,Project,9
the,United,9
this,work,9
the,use,8
in,it,8
is,the,8
thought,it,8
she,ran,8
before,she,8
that,they,8
the,top,8
near,the,8
was,no,8
to,come,8
among,the,8
to,ask,8
very,much,8
began,to,8
she,came,8
a,bit,8
round,the,8
and,when,8
it,might,8
any,rate,8
would,not,8
to,begin,8
the,table,8
who,had,8
Alice,I,8
if,she,8
poor,little,8
little,thing,8
trying,to,8
on,a,8
and,I,8
was,quite,8
go,on,8
to,speak,8
of,any,8
began,in,8
have,been,8
I,do,8
I,am,8
up,to,8
at,first,8
cried,the,8
them,and,8
and,it,8
said,in,8
there,were,8
I,was,8
when,they,8
they,all,8
the,rest,8
I,didnt,8
look,at,8
it,as,8
with,its,8
Alice,looked,8
is,it,8
you,like,8
So,they,8
The,Queen,8
on,their,8
with,her,8
the,game,8
agree,to,8
Gryphon,and,8
King,said,8
set,forth,8
forth,in,8
Gutenbergtm,License,8
You,may,7
beginning,to,7
her,sister,7
when,the,7
at,it,7
time,to,7
see,it,7
to,think,7
about,her,7
wonder,what,7
make,out,7
then,she,7
top,of,7
seem,to,7
through,the,7
Do,you,7
Im,afraid,7
Alice,began,7
saying,to,7
herself,in,7
and,had,7
tell,me,7
upon,a,7
which,was,7
all,round,7
at,any,7
of,that,7
wish,I,7
I,could,7
think,I,7
and,that,7
her,face,7
she,got,7
theres,no,7
like,that,7
that,said,7
you,to,7
way,of,7
set,to,7
to,work,7
cried,Alice,7
was,so,7
the,moment,7
of,sight,7
she,would,7
down,on,7
this,moment,7
the,distance,7
see,what,7
fan,and,7
got,up,7
am,I,7
for,her,7
this,she,7
went,to,7
good,deal,7
and,in,7
the,pool,7
I,hadnt,7
about,in,7
what,it,7
now,and,7
of,its,7
of,his,7
indeed,said,7
quite,a,7
they,had,7
and,this,7
called,out,7
with,an,7
you,do,7
And,the,7
so,that,7
You,are,7
the,window,7
then,the,7
some,time,7
at,Alice,7
to,it,7
what,a,7
tone,of,7
you,said,7
looking,at,7
up,into,7
you,are,7
Queen,and,7
in,all,7
what,you,7
same,thing,7
added,the,7
you,will,7
will,you,7
or,any,7
public,domain,7
do,not,7
copies,of,7
work,or,7
the,full,7
with,this,6
dear,I,6
at,this,6
was,just,6
the,world,6
not,a,6
a,moment,6
found,herself,6
to,look,6
her,and,6
and,there,6
not,like,6
put,it,6
off,the,6
by,this,6
Let,me,6
Ive,got,6
their,heads,6
have,to,6
the,name,6
you,were,6
felt,that,6
did,you,6
She,was,6
the,roof,6
up,the,6
the,middle,6
golden,key,6
little,door,6
be,no,6
use,in,6
she,might,6
very,soon,6
What,a,6
a,curious,6
was,now,6
a,few,6
few,minutes,6
in,my,6
a,thing,6
could,see,6
the,poor,6
it,a,6
which,the,6
her,hand,6
on,in,6
and,very,6
Im,sure,6
you,must,6
the,best,6
to,them,6
want,to,6
thought,and,6
Alice,a,6
in,this,6
great,hurry,6
ready,to,6
the,fan,6
Im,not,6
she,knew,6
her,hands,6
it,but,6
as,they,6
after,all,6
said,this,6
I,have,6
number,of,6
that,had,6
that,I,6
said,nothing,6
it,doesnt,6
all,her,6
not,said,6
you,dont,6
close,to,6
the,Lory,6
to,tell,6
are,you,6
its,head,6
some,of,6
is,to,6
as,you,6
try,the,6
left,off,6
is,a,6
Alice,very,6
it,I,6
soon,as,6
was,looking,6
out,to,6
as,a,6
all,that,6
of,little,6
voice,and,6
herself,and,6
the,wood,6
will,be,6
the,trees,6
up,in,6
it,out,6
other,side,6
its,mouth,6
or,other,6
over,the,6
was,sitting,6
sitting,on,6
the,reason,6
side,of,6
a,tone,6
